owner,name,status,license_path,license_name,download_url,saved_path,detail
zellij-org,zellij,saved,LICEN,MIT License,https://raw.githubusercontent.com/sayanarijit/xplr/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/xplr/LICENSE,
schollz,croc,saved,LICENSE,MIT License,https://raw.githubusercontent.com/schollz/croc/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/croc/LICENSE,
magic-wormhole,magic-wormhole.rs,saved,LICENSE,European Union Public License 1.2,https://raw.githubusercontent.com/magic-wormhole/magic-wormhole.rs/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/magic-wormhole.rs/LICENSE,
asciinema,asciinema,saved,LICENSE,GNU General Public License v3.0,https://raw.githubusercontent.com/asciinema/asciinema/develop/LICENSE,/home/alex/code/machineconfig/.ai/repos/asciinema/LICENSE,
cowboy8625,rusty-rain,saved,LICENSE,Apache License 2.0,https://raw.githubusercontent.com/cowboy8625/rusty-rain/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/rusty-rain/LICENSE,
Genivia,ugrep,saved,LICENSE.txt,"BSD 3-Clause ""New"" or ""Revised"" License",https://raw.githubusercontent.com/Genivia/ugrep/master/LICENSE.txt,/home/alex/code/machineconfig/.ai/repos/ugrep/LICENSE.txt,
gsass1,NTop,saved,LICENSE,GNU General Public License v3.0,https://raw.githubusercontent.com/gsass1/NTop/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/NTop/LICENSE,
sharkdp,bat,saved,LICENSE-APACHE,Apache License 2.0,https://raw.githubusercontent.com/sharkdp/bat/master/LICENSE-APACHE,/home/alex/code/machineconfig/.ai/repos/bat/LICENSE-APACHE,
Canop,broot,saved,LICENSE,MIT License,https://raw.githubusercontent.com/Canop/broot/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/broot/LICENSE,
ClementTsang,bottom,saved,LICENSE,MIT License,https://raw.githubusercontent.com/ClementTsang/bottom/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/bottom/LICENSE,
j178,chatgpt,license_not_found,,,,,license_api_404
cloudflare,cloudflared,saved,LICENSE,Apache License 2.0,https://raw.githubusercontent.com/cloudflare/cloudflared/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/cloudflared/LICENSE,
Dr-Noob,cpufetch,saved,LICENSE,GNU General Public License v2.0,https://raw.githubusercontent.com/Dr-Noob/cpufetch/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/cpufetch/LICENSE,
dandavison,delta,saved,LICENSE,MIT License,https://raw.githubusercontent.com/dandavison/delta/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/delta/LICENSE,
Byron,dua-cli,saved,LICENSE,MIT License,https://raw.githubusercontent.com/Byron/dua-cli/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/dua-cli/LICENSE,
fastfetch-cli,fastfetch,saved,LICENSE,MIT License,https://raw.githubusercontent.com/fastfetch-cli/fastfetch/dev/LICENSE,/home/alex/code/machineconfig/.ai/repos/fastfetch/LICENSE,
sharkdp,fd,saved,LICENSE-APACHE,Apache License 2.0,https://raw.githubusercontent.com/sharkdp/fd/master/LICENSE-APACHE,/home/alex/code/machineconfig/.ai/repos/fd/LICENSE-APACHE,
junegunn,fzf,saved,LICENSE,MIT License,https://raw.githubusercontent.com/junegunn/fzf/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/fzf/LICENSE,
alexpasmantier,television,saved,LICENSE,MIT License,https://raw.githubusercontent.com/alexpasmantier/television/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/television/LICENSE,
gitui-org,gitui,saved,LICENSE.md,MIT License,https://raw.githubusercontent.com/gitui-org/gitui/master/LICENSE.md,/home/alex/code/machineconfig/.ai/repos/gitui/LICENSE.md,
charmbracelet,glow,saved,LICENSE,MIT License,https://raw.githubusercontent.com/charmbracelet/glow/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/glow/LICENSE,
charmbracelet,gum,saved,LICENSE,MIT License,https://raw.githubusercontent.com/charmbracelet/gum/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/gum/LICENSE,
gokcehan,lf,saved,LICENSE,MIT License,https://raw.githubusercontent.com/gokcehan/lf/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/lf/LICENSE,
leo-arch,clifm,saved,LICENSE,Other,https://raw.githubusercontent.com/leo-arch/clifm/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/clifm/LICENSE,
lsd-rs,lsd,saved,LICENSE,Apache License 2.0,https://raw.githubusercontent.com/lsd-rs/lsd/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/lsd/LICENSE,
cantino,mcfly,saved,LICENSE,MIT License,https://raw.githubusercontent.com/cantino/mcfly/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/mcfly/LICENSE,
ouch-org,ouch,saved,LICENSE,Other,https://raw.githubusercontent.com/ouch-org/ouch/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/ouch/LICENSE,
dalance,procs,saved,LICENSE,MIT License,https://raw.githubusercontent.com/dalance/procs/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/procs/LICENSE,
rclone,rclone,license_not_found,,MIT License,,,no_root_license_match
meilisearch,meilisearch,saved,LICENSE,Other,https://raw.githubusercontent.com/meilisearch/meilisearch/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/meilisearch/LICENSE,
ast-grep,ast-grep,saved,LICENSE,MIT License,https://raw.githubusercontent.com/ast-grep/ast-grep/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/ast-grep/LICENSE,
BurntSushi,ripgrep,saved,UNLICENSE,The Unlicense,https://raw.githubusercontent.com/BurntSushi/ripgrep/master/UNLICENSE,/home/alex/code/machineconfig/.ai/repos/ripgrep/UNLICENSE,
phiresky,ripgrep-all,saved,LICENSE.md,Other,https://raw.githubusercontent.com/phiresky/ripgrep-all/master/LICENSE.md,/home/alex/code/machineconfig/.ai/repos/ripgrep-all/LICENSE.md,
starship,starship,saved,LICENSE,ISC License,https://raw.githubusercontent.com/starship/starship/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/starship/LICENSE,
mgunyho,tere,saved,LICENSE,European Union Public License 1.2,https://raw.githubusercontent.com/mgunyho/tere/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/tere/LICENSE,
